any	brain	heart
chr10:61532677-61537653	0.810685318129576	0.386528347865348	0.83943843582796
chr15:75646709-75649708	0.714803909378989	0.24293312872908	0.474487704016919
chr9:121301588-121305883	0.671115967391176	0.124390518345005	0.60727577250007
chr4:135257075-135260072	0.707357311823781	0.261131804788426	0.263494066758159
chr15:8779669-8783322	0.862400008463458	0.613202756134942	0.161631152848363
chr1:38196744-38201861	0.863838977860791	0.635876205771441	0.26628953120769
chr1:39945533-39950689	0.76423436073558	0.481865118729327	0.15557283322752
chr13:34285394-34290493	0.781841107761125	0.368723732821629	0.331896590927823
chr4:97647212-97651215	0.751145912453644	0.473300289725284	0.0771609381767393
chr11:117343025-117348116	0.722794247682983	0.14871208709604	0.720068148930977
chr18:65518141-65523041	0.814380986414039	0.381931474600031	0.55990895069871
chr12:12707412-12712118	0.736932274406247	0.352764788861099	0.269178551945522
chr4:62611143-62615332	0.70388102376471	0.260789746289548	0.302661298483813
chr1:73639286-73644483	0.834257864348286	0.440679157606403	0.556428590442594
chr1:90472812-90477819	0.788710596122271	0.375343096906633	0.371902556006639
chr2:101589988-101594341	0.769287791977826	0.277286613558033	0.267788465262515
chr2:103623986-103627532	0.718925723568842	0.359349520082292	0.337016877825746
chr13:84781772-84786465	0.820956399289121	0.729757640770081	0.0648722214317124
chr18:34131298-34134370	0.736955323750671	0.377055099417244	0.283858546002701
chr11:96763980-96769001	0.767954135977605	0.44011491388248	0.500617012483738
chr8:120302266-120306507	0.81674213898436	0.185857285045318	0.888458217946771
chr8:126535553-126540585	0.824977765136393	0.504593449015281	0.370610196814982
chr2:130489314-130493856	0.830853443498811	0.312579490216604	0.507727184052314
chr16:35562916-35566579	0.713641282146581	0.480596230666109	0.153346460476964
chr14:76030042-76035145	0.810886670744643	0.523204244609143	0.200486180111971
chr14:21366918-21370838	0.619558953283849	0.257854355682557	0.0560305894541896
chr8:120297687-120299975	0.592799613168916	0.179209922753543	0.297504104311559
