68244_H3K4me1_Ren_sort_peaks.narrowPeak.gz	68115_EP300_Ren_sort_peaks.narrowPeak.gz	54499_H3K27ac_sort_peaks.narrowPeak.gz	62993_H3K27ac_sort_peaks.narrowPeak.gz	60947_H3K4me2_sort_peaks.narrowPeak.gz	5097_HOXC9_sort_peaks.narrowPeak.gz	55119_SOX2_sort_peaks.narrowPeak.gz	5060_OLIG2_sort_peaks.narrowPeak.gz	54562_H3K27ac_sort_peaks.narrowPeak.gz	53322_H3K4me1_sort_peaks.narrowPeak.gz	56691_POLII_sort_peaks.narrowPeak.gz	61702_H3K9ac_sort_peaks.narrowPeak.gz	61864_H3K27ac_sort_peaks.narrowPeak.gz	54525_H3K27ac_sort_peaks.narrowPeak.gz	53421_H3K4me1_sort_peaks.narrowPeak.gz	1545_DNase_sort_peaks.narrowPeak.gz	58242_SPI1_sort_peaks.narrowPeak.gz	58256_SPI1_sort_peaks.narrowPeak.gz	1932_EP300_sort_peaks.narrowPeak.gz	58318_DNase_sort_peaks.narrowPeak.gz	58262_SPI1_sort_peaks.narrowPeak.gz	1491_DNase_sort_peaks.narrowPeak.gz
chr10|61532677|61537653	6.5084	8.02766	3.6151	12.0921	4.7453	21.45036	17.94139	30.42041	11.86381	31.61894	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr15|75646709|75649708	10.14142	0.0	5.75316	8.43372	6.79037	0.0	0.0	19.51435	11.34328	17.05227	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr9|121301588|121305883	6.0415	3.22331	6.40485	0.0	0.0	6.13861	0.0	8.97387	0.0	17.05227	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr4|135257075|135260072	7.69139	0.0	3.6151	6.62703	0.0	0.0	0.0	0.0	6.39639	7.78353	6.40564	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr15|8779669|8783322	0.0	0.0	41.44432	0.0	3.61038	24.58249	0.0	11.69819	0.0	12.63375	0.0	0.0	0.0	13.2335	6.68827	0.0	0.0	0.0	0.0	0.0	28.57754	16.76512
chr1|38196744|38201861	4.30842	11.04807	6.70314	6.7422	11.72528	8.70372	0.0	0.0	0.0	7.2738	0.0	0.0	0.0	0.0	13.6789	0.0	0.0	0.0	0.0	6.73365	55.63541	11.63561
chr1|39945533|39950689	6.5084	0.0	38.76267	0.0	0.0	0.0	0.0	0.0	11.59075	9.98287	0.0	5.61951	55.26207	7.89187	0.0	8.21465	7.11647	35.79826	0.0	0.0	8.08965	8.87012
chr13|34285394|34290493	8.51971	0.0	21.18904	0.0	6.81516	0.0	0.0	4.95224	0.0	8.22999	0.0	0.0	0.0	0.0	10.82305	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4|97647212|97651215	16.36487	0.0	5.12777	0.0	4.18079	0.0	0.0	0.0	6.18338	5.4637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.88702	0.0	0.0	25.57455	8.10329
chr11|117343025|117348116	10.06497	0.0	34.64599	8.93895	0.0	0.0	0.0	0.0	82.91361	24.7596	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
chr18|65518141|65523041	12.60488	6.03919	17.32004	16.62309	10.80949	59.17443	6.7295	193.23622	49.60112	23.25896	2.82779	0.0	19.55407	30.77537	12.33719	0.0	62.27795	22.57816	0.0	13.45462	9.49508	25.80235
