any	brain	heart
chr11|31670827|31670956	0.872530603197063	0.13330842101965	0.290283159151691
chr7|80445469|80446527	0.856903527713633	0.256009505236768	0.355118439370235
chr12|80062053|80062764	0.855748847697178	0.38569050239135	0.327550722650731
chr7|37179904|37180171	0.8545117401217	0.515625360096428	0.082608698768462
chr13|63627263|63627533	0.850279084298921	0.538613191435364	0.0467841629007175
chr11|104440171|104443173	0.84213039970772	0.681632441028422	0.106633122374491
chr2|69585012|69588295	0.826333193776271	0.458938135859862	0.184542412267835
chr12|31949316|31949919	0.823375401115844	0.4103513112293	0.144117461172367
chr17|15247748|15248807	0.819971378904521	0.334527590250722	0.309940479085207
chr2|32095392|32096823	0.80509429613244	0.284422644880671	0.338548233509926
chr3|108166475|108166859	0.804988172939517	0.243917471270762	0.375211213405521
chr2|119305085|119305235	0.80263260780843	0.236904008430421	0.499451363600705
chr9|61468007|61469266	0.80170862512837	0.349648494669949	0.321563362821488
chr11|88067081|88069652	0.799665216836947	0.531868254405073	0.130751730559629
chr12|109508357|109509926	0.7961984531805	0.364164996621574	0.215566543598706
chr6|51076862|51077476	0.793780406176128	0.37489603535302	0.227556747281441
chr2|75704472|75705358	0.792544439090475	0.370822055391453	0.289202297678528
chr1|86433994|86434686	0.789968050977999	0.289961342347867	0.250316972223045
chr7|16400023|16400343	0.789471289626258	0.499109498353154	0.129111704492404
chr2|93891333|93891565	0.788039800243328	0.228633858097752	0.369491413333995
chr8|32058991|32059397	0.786821644730861	0.267306614244735	0.0779175360049434
chr15|97824841|97826337	0.78659594742568	0.287301666794288	0.31790295573043
chr19|47908911|47910892	0.78552523429742	0.243817454173141	0.396898426310176
chr2|92839996|92840307	0.78529424880967	0.188647466424561	0.325503649565443
chr12|107979874|107980671	0.782145272079727	0.480444697872934	0.112305478851241
chr11|65787395|65788451	0.780133982231514	0.354649340960714	0.0898322841222776
chr13|26154933|26155245	0.78005389208482	0.448582418575843	0.0800386931672594
chr19|10013973|10014261	0.779070782612721	0.216539795096603	0.322817165940919
chr9|120691180|120691909	0.778921159193979	0.230966584009047	0.307350619454343
chr14|70765330|70768190	0.775590583722521	0.447053556116061	0.12877916811482
chr17|34120741|34122748	0.774550172007042	0.281345150439669	0.276363286985114
chr18|25548182|25549478	0.774434500942334	0.409499977292293	0.184566679505056
chr13|43182714|43182987	0.772740435453362	0.182329080330999	0.211754168546304
chr17|29355857|29356408	0.772349663349521	0.238628082179502	0.312415338222146
chr14|22679704|22680691	0.768490532133558	0.396071321744656	0.227721475381629
chr14|119893120|119893497	0.765934279609483	0.339394212817764	0.125643381050631
chr10|88200880|88201520	0.765199059678862	0.319110058051724	0.20688704154559
chr1|23256368|23256982	0.76480437463097	0.420220505028807	0.11432211188
chr14|79480797|79481400	0.764445631894536	0.378431762466683	0.137167105782059
chr15|82933179|82933491	0.764409998938912	0.169924962793317	0.477667500457017
chr5|123137311|123140526	0.7629617440117	0.40244094902936	0.157247138741105
chr1|138840487|138844201	0.761641235048966	0.409051356705777	0.121782960970273
chr3|34019816|34021727	0.760877000174463	0.460170738151486	0.137728595755503
chr4|95317826|95318184	0.759760108441264	0.193476934268432	0.62865972398465
chr19|21274581|21274715	0.757221709407814	0.193063924120916	0.466499339348295
chr7|79590294|79590627	0.756480085799752	0.236231037053376	0.401866457413832
chr2|91195342|91195594	0.756470509874569	0.228815372160199	0.239414976932095
chr12|86887966|86888989	0.756035694199258	0.325409541318059	0.146460011688651
chr17|10317268|10319544	0.755957069491047	0.333950107929746	0.137036001755896
chr11|85829532|85835744	0.755601990303448	0.266532655496392	0.167788764873582
chr17|47521311|47522200	0.75520663799532	0.283349580035446	0.317267454660149
chr10|60592808|60593011	0.752866906094379	0.266557867508599	0.145819735012348
chr12|79879277|79879432	0.752394629454512	0.285950518590386	0.206849190581985
chr1|132322715|132323475	0.752390983316886	0.288804962237755	0.197898781652595
chr6|28979080|28981565	0.751823683369843	0.24150864593739	0.374247016607981
chr1|52577866|52578505	0.751575504731984	0.282051157230616	0.231924698729383
chr11|116853006|116853848	0.751231740014546	0.382694610110499	0.134171641602988
chr17|28799991|28801202	0.75059888650373	0.318775562549142	0.167119033851825
chr19|53052100|53052714	0.749630430058519	0.235607339698838	0.324989463189211
chr6|39871288|39872421	0.748856374289502	0.319456482222709	0.130247561529558
chr7|68085238|68085751	0.748547246471789	0.320559879667262	0.128900137961657
chr16|30063003|30064476	0.748285494561334	0.413828437045396	0.110310143364988
chr3|99251943|99255188	0.748014636278799	0.449708348028704	0.126434839635947
chr17|83178988|83179831	0.74766616067974	0.181695231146577	0.310628139239284
chr6|51006243|51006394	0.746988724273706	0.346760237773697	0.0867670039475846
chr2|157887651|157887984	0.746073681661982	0.195283045952676	0.368074467841995
