any	brain	heart
chr17|57247306|57247499	0.999999999874611	0.999999998852414	0.42566597844982
chr4|150909433|150910048	0.999999996365043	0.999999386282982	0.937625410449907
chr4|123748941|123751271	0.999999802356327	0.999998647222862	0.162038849122712
chr12|59218063|59219274	0.999999226774086	0.999998025420928	0.0552228946622044
chr16|78575855|78577500	0.999999454190655	0.999996276769293	0.574845851754917
chr12|85109832|85111934	0.999999925891438	0.999991896157255	0.95908720263315
chr13|66932737|66934898	0.999999436862116	0.999984186323473	0.751861661716114
chr12|85472461|85474228	0.999997644279356	0.999984115563001	0.60721749248052
chr2|129800384|129801120	0.999998057388138	0.999981131423654	0.710564864561144
chr9|63602808|63603101	0.99999975825306	0.999974762812831	0.880493100559955
chr10|81384135|81384563	0.999999522099421	0.999968339367768	0.929447154682821
chr4|128715331|128716207	0.999999078216761	0.999966701593192	0.00673727888426693
chr1|136233313|136234729	0.999996510341056	0.99996646231392	0.161903113691145
chr7|126975915|126977142	0.999999921162724	0.980297561773421	0.999966068808878
chr1|89576443|89577636	0.999995894804373	0.99995814721119	0.133080426051998
chr10|40883283|40884870	0.999997706771901	0.999937292704909	0.0439280653454392
chr14|101653581|101654114	0.999997329115008	0.99993170811074	0.552319286762402
chr1|91459617|91460517	0.999995335359482	0.999928361954593	0.564214066127776
chr3|30995333|30995833	0.999999075421793	0.99991870547524	0.92017150523447
chr8|57326701|57327027	0.999919044931587	3.29349252174081e-06	0.999916047323938
chr1|132476921|132477722	0.999979141009918	0.000980532709738558	0.999882781382226
chr17|31564202|31564648	0.999996655068041	0.999872637942518	0.888932828266625
chr14|20731817|20734441	0.999999395973768	0.999868948118803	0.947476526864796
chr11|19013620|19015147	0.999860164224505	0.000116176147176695	0.999835515706575
chr7|139364039|139364618	0.999915193104087	0.00242104626118202	0.999802413218391
chr6|42350122|42351611	0.999913661971754	0.00171464476004164	0.999799328473192
chr11|19016008|19017159	0.999834098346896	3.86097712433991e-05	0.9997693451673
chr5|137785182|137786018	0.999874468473451	0.034990787351909	0.999753996835245
chr2|168230258|168231310	0.999987511763511	0.999744920324859	0.0973932681808271
chr10|84576504|84577125	0.999980189283178	0.866607912837394	0.999724270597564
chr2|164878862|164879206	0.999925520569443	0.0071703156190784	0.999721492908959
chr15|80255498|80256220	0.999951431550658	0.000234337052344708	0.999708737398463
chr15|101283849|101284586	0.999999832519286	0.998113216956358	0.999695013570949
chr17|87445384|87446537	0.999797100942457	7.26372960539129e-06	0.99968512978605
chr1|133080070|133080633	0.999965313042103	0.999669517815876	0.0169033772564574
chr14|63243403|63247510	0.999732984253397	0.000192044016861721	0.999660307857533
chr2|91710085|91710979	0.999797241138306	1.81548565708073e-05	0.999658470860178
chr16|18811113|18812567	0.999999714099587	0.99964406849795	0.992163725106551
chr11|59809795|59810384	0.999998856078019	0.999639597795598	0.990797791788755
chr2|84715163|84716491	0.999992762729192	0.999637611813238	0.925920185237716
chr17|71001185|71001439	0.999871406239268	0.000160601597807496	0.999619114237436
chr13|34248914|34249602	0.999968686601082	0.999614595144986	0.0189000835096509
chr2|14073428|14074751	0.999835133424182	3.70497162321359e-05	0.999585824858779
chr12|36155924|36156954	0.999997558444511	0.999580738951281	0.968336388965585
chr5|140418474|140419151	0.999890668151042	0.368606380809531	0.999551693966908
chr14|54618458|54619445	0.999809424296145	0.000524036877304893	0.999547748688287
chr12|28817748|28818809	0.999965346554818	0.999540840747409	0.00599025747867427
chr15|31601356|31602657	0.999897195564689	0.0299661128614152	0.999531335188993
chr7|27590701|27593337	0.999970183998026	0.999524627846671	0.304080303284438
chr2|157565868|157566753	0.999825222647155	0.000194524167176236	0.999486487344477
chr12|52602790|52603607	0.999701715488206	0.000520348195787711	0.9994320277917
chr11|19013049|19013141	0.999662419634688	0.000122338834053263	0.999384411138666
chr10|8885657|8887035	0.999992399338665	0.999377640070149	0.936345188635186
chr19|10203828|10204595	0.999716564283721	0.000285050883790971	0.999361141438304
chr14|63251800|63252633	0.999627296410898	0.000180677100081898	0.999352454074254
chr4|98922663|98924586	0.999653142660956	0.0135504228368858	0.999344804186536
chr8|32058991|32059397	0.999884368010542	0.999334104370796	0.100404643024463
chr2|170511076|170512470	0.99984519823226	0.613564499146694	0.999315195341867
chr11|88585699|88585997	0.999948237465755	0.999296973602032	0.198806735398618
chr7|133709002|133709446	0.999996874510515	0.987940817713604	0.999289039012539
chr9|24772785|24779430	0.999536319593374	0.000199102105280084	0.999250360718108
chr18|46740227|46741409	0.999825860931942	0.000583757368840604	0.999210458129001
chr15|25773665|25774958	0.999930841219392	0.999206197224801	0.0449849226326006
chr10|62449634|62450175	0.999855868648515	0.00171417459794185	0.999202436792824
chr7|89981864|89982013	0.999711752829631	0.00248751968196587	0.999144893028002
chr14|63239293|63242880	0.999516031526828	0.00022128065655887	0.999136297901912
chr12|78861049|78862700	0.999841374509537	0.00770555416318771	0.999100529166032
chr14|103777988|103778279	0.999849615847691	0.999095265091495	0.0492401118181882
chr17|84789836|84791212	0.999999888174304	0.999075020070453	0.999012446054052
chr8|57332805|57333450	0.999443044208957	0.000210055264081134	0.999046616388403
chr7|112299013|112299528	0.999557271619075	0.00542462815618142	0.999033757401738
chr4|116075632|116077513	0.999896381902816	0.999017515500754	0.817799347279761
chr1|72583009|72584802	0.999876096987104	0.998999724980229	0.328586392595149
chr7|30168525|30169068	0.999624182507859	0.00338445894438133	0.998998540295159
chr10|62449013|62449233	0.999693744688848	0.012031840751739	0.998966001944842
chr2|150735620|150736283	0.999941785763443	0.998872966651944	0.00298930876505159
