any	brain	heart
chr10|61532677|61537653	0.837843043768743	0.505924325779502	0.22714663870206
chr15|75646709|75649708	0.737018575507884	0.258991328812299	0.261015108334859
chr9|121301588|121305883	0.778942159248905	0.433308831572011	0.143631213603081
chr4|135257075|135260072	0.663248287267709	0.151791575076253	0.227085451199893
chr15|8779669|8783322	0.822340484396032	0.58621290334015	0.0611347725662464
chr1|38196744|38201861	0.915090660118248	0.782762072156171	0.128503181943882
chr1|39945533|39950689	0.761664714185578	0.372292617936179	0.232925749866311
chr13|34285394|34290493	0.810352912812937	0.512760787784079	0.149213940282378
chr4|97647212|97651215	0.772293243773908	0.390201751543313	0.24938194421048
chr11|117343025|117348116	0.824226147961265	0.439635734463542	0.253649493308672
chr18|65518141|65523041	0.831779260753181	0.338297159648793	0.187351490002928
chr12|12707412|12712118	0.828043775057939	0.57447115358296	0.0779492240339536
chr4|62611143|62615332	0.795104238269917	0.446750028632821	0.198652588779733
chr1|73639286|73644483	0.704804741884526	0.160510008150551	0.263506916642244
chr1|90472812|90477819	0.896508492600585	0.717594917714942	0.0683493311320127
chr2|101589988|101594341	0.836938863892613	0.547532963954818	0.0432045967355815
chr2|103623986|103627532	0.935585066581667	0.826887111498998	0.0957113484996242
chr13|84781772|84786465	0.775506469072515	0.453271329941618	0.107157581713607
chr18|34131298|34134370	0.866390517529419	0.653034022272837	0.0606626805419242
chr11|96763980|96769001	0.83857460829305	0.595998012069781	0.0875783147901651
chr8|120302266|120306507	0.785042107528511	0.497986380999543	0.0691494577173266
chr8|126535553|126540585	0.877044940505998	0.370383407613913	0.579330332949096
chr2|130489314|130493856	0.885723113416427	0.712028169219459	0.0667807082774153
chr16|35562916|35566579	0.840723338917459	0.594841349482471	0.0542443693211559
chr14|76030042|76035145	0.929772954411461	0.824675130757344	0.0537446722339454
chr14|21366918|21370838	0.913980002548625	0.739377390511982	0.126720956980436
chr8|120297687|120299975	0.974319370334356	0.919611615889233	0.0365595440460365
chr6|72728577|72732628	0.992643599190843	0.980031096065093	0.0755099672136676
chr8|87743566|87748592	0.934187531185426	0.817644555889026	0.109895960197144
chr3|35331428|35336495	0.989416110777996	0.973393201158766	0.0519251509841768
chr6|93818356|93823383	0.941487850623194	0.847198534093988	0.099554802967913
chr6|91144563|91149338	0.817807814362873	0.571862037376066	0.0728345653435651
chr16|23502808|23507356	0.916447498531246	0.778234389833987	0.12038945991417
chr4|82702622|82707694	0.730419954624973	0.331366420125158	0.1611599398995
chr9|106336305|106340348	0.845029813215848	0.574527481575069	0.0946677498986537
chr4|134630703|134635445	0.786849327145909	0.0323808800952556	0.576007418920286
chr2|71611087|71614500	0.80213803165461	0.461968028132159	0.230657889422677
chr1|97538497|97542741	0.993005183741638	0.981951963559561	0.0387080755400353
chr7|117616695|117621521	0.997024358494194	0.9927748973791	0.0410644761732523
chr9|61402174|61407234	0.751179872844869	0.340628469791126	0.217838889466832
chr8|87151207|87154296	0.781265061057326	0.482013170673462	0.0572599856424462
chr9|48693871|48698585	0.964217831135213	0.888191927275233	0.107441732697508
chr7|117138022|117142382	0.811688483358193	0.521833986963943	0.112754709747754
chr13|59989666|59994793	0.837256722031268	0.602552181924978	0.126874107319304
chr12|5266438|5269568	0.802528965736731	0.48121878317787	0.198504759937399
chr16|37812647|37815565	0.660392912105611	0.18995245022259	0.212250722297382
chr5|77486940|77489925	0.759447468854798	0.303161095498726	0.187762109500423
chrX|73913983|73916518	0.63875632273713	0.160286780290653	0.130037247755065
chr16|44537655|44540232	0.816096732128703	0.584137562191997	0.0495295646258822
chr6|112813562|112816924	0.906636048143377	0.75574373624942	0.0512473668849476
chr3|63869819|63872427	0.807982503690233	0.552298322706702	0.0598974772892291
chr14|73233956|73236326	0.587231086909802	0.0883985793791028	0.138573559967528
chr5|118665477|118668878	0.747211611694909	0.31362169355026	0.170756652519444
chr14|19940072|19943446	0.786224007247592	0.31367714645267	0.322827492911749
chr11|107762173|107764184	0.780602701971286	0.456042693636006	0.0386040332858739
chr9|95812717|95815609	0.683905539196434	0.279179688409176	0.0656369117226775
chr4|133659033|133661626	0.640843029408595	0.0783825597828334	0.262914348743752
chr4|32476879|32481892	0.860748175425647	0.613800072214096	0.158631415440558
chr2|117427080|117430606	0.757161093593688	0.440059515431402	0.0742628000562872
chr11|77924762|77927516	0.674876494678365	0.276886235736531	0.0681064567995828
chr1|158265467|158268046	0.665576213856313	0.168267838535523	0.116369798399966
chr3|76465722|76469421	0.705151087959786	0.312391995361817	0.0707413995491883
chr9|13697970|13700760	0.80234207295055	0.532118998794678	0.0600920446070865
chr1|75288287|75291172	0.862683481670207	0.63836575874755	0.0626418599891001
chr1|13003747|13006556	0.771472045266272	0.469466331030404	0.0463499404096701
chr13|56768879|56771714	0.746533237218769	0.446770044359416	0.0511257365728002
chr12|79610948|79615810	0.757798141211191	0.117255217123429	0.458949448332417
chr11|32008837|32012277	0.787067476286289	0.484344472135987	0.0929757669697106
chr10|80565497|80568178	0.621894210156327	0.128131954876691	0.0979377898068891
chr4|24216914|24220803	0.822703941895515	0.576780723125509	0.0629440477382191
chr2|166019657|166023462	0.793816440501158	0.48514925136775	0.12477268158199
chr2|30685857|30689137	0.824457339868329	0.564914615837691	0.1026553356112
chr1|157936874|157941610	0.789332642623185	0.423350194545334	0.0593956932916367
chr2|168693119|168695892	0.804524708397756	0.510643423258517	0.0852218809370987
chr13|12502078|12504879	0.792158316001914	0.513842072423015	0.0644098136481609
chr4|107143150|107146021	0.688135953132741	0.296488296101826	0.0678319720378543
chr11|111892672|111895416	0.730906471998184	0.382342616215781	0.0712140107187415
chr18|55145238|55148103	0.875676341850736	0.716175439447322	0.113237016738
chrX|99566578|99569308	0.793516375411509	0.491344618298984	0.128225145466159
chr4|106852966|106857441	0.88872624843828	0.682734140062727	0.0960340447146675
chr18|60668786|60671697	0.738734127374254	0.309204632466132	0.127270641526752
chr17|4038923|4041381	0.881470256119215	0.694251965811542	0.0567776281559913
chr5|115571518|115574030	0.590196622779353	0.0760443685347819	0.156698779503491
chrX|53210549|53213376	0.653587150633319	0.133515331680885	0.166132496053394
chr3|88540941|88543473	0.693949828982807	0.330745899123917	0.086193050104183
chr2|30737017|30739571	0.788366010130647	0.495202851045353	0.064152234895373
chrX|160165154|160167910	0.707942719725214	0.350516833722983	0.0775981407671817
chr14|7854365|7857420	0.669503147625581	0.23326109232821	0.0776810596672834
chr9|120601909|120604533	0.787782092669276	0.280959741450027	0.315723162517977
chr2|132426454|132429102	0.910863969067201	0.813241919461117	0.0447982176574272
chr12|52380796|52383815	0.702608665341052	0.201779353610118	0.0949525863693014
chr5|99272413|99275239	0.901089460610545	0.761926463930501	0.0481866750431384
chr13|28632437|28634958	0.712382111251964	0.341190355973621	0.0721526697669873
chr3|98092572|98095417	0.635902372096337	0.165833011424218	0.140302059598408
chr7|135137921|135140618	0.690145179917363	0.29758689730896	0.0766729731564711
chr13|34805275|34807841	0.729744223290475	0.401854643380526	0.0637891276508306
chr19|26869273|26871934	0.694592107716018	0.234064697630664	0.18874694601256
chr12|79795794|79798372	0.627042910178181	0.126639216214327	0.138459308643765
chr8|34868749|34872970	0.765681637592334	0.442215379645868	0.0805122052396764
chr9|10445955|10448528	0.646415178110908	0.233303269714688	0.0722508807709784
chr6|114802640|114805326	0.650428981905716	0.193904923219007	0.164515816896501
chr19|46547123|46549693	0.686119960421194	0.302741357520639	0.0648082408276535
chr8|116163758|116166268	0.70361418585292	0.32441321862115	0.0624274078037737
chr2|170836029|170839441	0.851676495620525	0.634850175539096	0.0769197894325963
chr9|45625033|45628875	0.788454541979013	0.494806078932971	0.0832936388471354
chr13|39876693|39879433	0.998442591135914	0.995440615367405	0.0195532704983863
chr6|125159970|125162476	0.664091634980761	0.0195202832654401	0.242619118996657
chr18|69546507|69549364	0.670600554083373	0.252435903601944	0.110799807566939
chr12|99518009|99520804	0.746623069596618	0.43281695636582	0.106874131629942
chr6|127141188|127145234	0.631181961178068	0.15840687711253	0.131205437045221
chr11|116660002|116662901	0.703263764210515	0.189486453747971	0.290908975563461
chrX|22897289|22900007	0.63255344374225	0.204043551749913	0.0723826908175264
chr3|51907571|51910645	0.801997973753914	0.512237189795561	0.163110360416669
chr7|6850507|6853396	0.745723870119619	0.404692717473578	0.0696434146900309
chr7|76437642|76440363	0.771534948377982	0.490259145357789	0.0685164024270171
