68244_H3K4me1_Ren_sort_peaks.narrowPeak.gz	68115_EP300_Ren_sort_peaks.narrowPeak.gz	54499_H3K27ac_sort_peaks.narrowPeak.gz	62993_H3K27ac_sort_peaks.narrowPeak.gz	60947_H3K4me2_sort_peaks.narrowPeak.gz	5097_HOXC9_sort_peaks.narrowPeak.gz	55119_SOX2_sort_peaks.narrowPeak.gz	5060_OLIG2_sort_peaks.narrowPeak.gz	54562_H3K27ac_sort_peaks.narrowPeak.gz	53322_H3K4me1_sort_peaks.narrowPeak.gz	56691_POLII_sort_peaks.narrowPeak.gz	61702_H3K9ac_sort_peaks.narrowPeak.gz	61864_H3K27ac_sort_peaks.narrowPeak.gz	54525_H3K27ac_sort_peaks.narrowPeak.gz	53421_H3K4me1_sort_peaks.narrowPeak.gz	1545_DNase_sort_peaks.narrowPeak.gz	58242_SPI1_sort_peaks.narrowPeak.gz	58256_SPI1_sort_peaks.narrowPeak.gz	1932_EP300_sort_peaks.narrowPeak.gz	58318_DNase_sort_peaks.narrowPeak.gz	58262_SPI1_sort_peaks.narrowPeak.gz	1491_DNase_sort_peaks.narrowPeak.gz
hg19,chr16,86430087,86430726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.23136	0.0	43.14692	8.86621	0.0	29.25259	11.84684	0.0
hg19,chr16,85620095,85621736	10.52739	0.0	0.0	6.97247	0.0	19.47946	0.0	0.0	4.45904	17.05227	0.0	5.60871	0.0	0.0	4.923	0.0	8.22184	40.72368	0.0	5.87021	10.84391	5.46176
hg19,chr16,80423343,80424652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.02745	6.13732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.09067	13.18817
hg19,chr16,80372593,80373755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,79969907,79971297	0.0	0.0	0.0	0.0	0.0	4.88226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,79949950,79951518	0.0	0.0	0.0	0.0	0.0	13.40337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,79026563,79028162	10.48308	0.0	0.0	0.0	0.0	15.35569	0.0	8.4482	0.0	8.77852	0.0	0.0	0.0	0.0	0.0	9.26338	0.0	53.8793	0.0	0.0	0.0	0.0
hg19,chr16,78933253,78934686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,78832182,78833595	0.0	0.0	0.0	0.0	4.25519	6.74769	0.0	0.0	0.0	6.41946	0.0	0.0	0.0	0.0	5.35639	0.0	8.02554	0.0	0.0	6.85301	0.0	0.0
hg19,chr16,78643215,78644831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.86789	0.0	5.21062	0.0	0.0	0.0	0.0	0.0
hg19,chr16,78510608,78511944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.50193	0.0
hg19,chr16,78436409,78437708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,78387021,78388685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.81312	0.0	0.0	3.74015	0.0	0.0
hg19,chr16,78209751,78211362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.77014	0.0	0.0	0.0	0.0	0.0	0.0	8.89018	0.0	0.0	11.7883	0.0	0.0
hg19,chr16,72980900,72982545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.88756	0.0	6.04097	16.37217	0.0	13.45465	7.67449	0.0	5.84623	0.0	0.0
hg19,chr16,72929878,72931288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.18476	0.0	0.0	0.0	0.0
hg19,chr16,72887593,72888513	10.27634	0.0	0.0	2.68843	0.0	24.92059	0.0	0.0	0.0	9.22816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.35678	34.43438
hg19,chr16,72839562,72841124	0.0	0.0	22.87493	0.0	0.0	11.6792	0.0	0.0	2.56841	8.32904	0.0	0.0	0.0	0.0	8.83447	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,72738568,72740149	0.0	0.0	0.0	0.0	0.0	34.09023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.85791	0.0	11.66014	0.0	8.06133	5.47682	0.0	0.0
hg19,chr16,72275206,72276782	0.0	0.0	29.39968	5.14061	0.0	0.0	0.0	0.0	0.0	4.33708	0.0	0.0	0.0	0.0	0.0	0.0	21.43616	7.005	5.39357	24.92435	42.64244	17.14061
hg19,chr16,72254566,72255825	3.58012	0.0	55.49226	0.0	12.22262	15.27579	8.6024	7.39875	7.09681	30.60122	0.0	0.0	0.0	0.0	6.88075	0.0	15.29795	0.0	0.0	7.34995	40.44596	44.14608
hg19,chr16,55424416,55425738	0.0	0.0	0.0	0.0	4.57032	43.88808	25.06375	0.0	0.0	6.61207	0.0	0.0	0.0	0.0	5.39562	0.0	6.44639	0.0	0.0	8.95227	0.0	0.0
hg19,chr16,55418032,55418881	0.0	0.0	0.0	0.0	0.0	53.32005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.24276	0.0	0.0	0.0	0.0
hg19,chr16,55223185,55224283	0.0	0.0	3.96053	0.0	0.0	6.69896	0.0	0.0	0.0	5.53011	0.0	0.0	0.0	0.0	5.68549	0.0	9.61983	0.0	0.0	13.35613	5.80638	0.0
hg19,chr16,55079237,55080429	0.0	0.0	0.0	0.0	0.0	16.58633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,55074360,55075075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,54799102,54800160	0.0	0.0	4.00971	0.0	0.0	0.0	0.0	0.0	0.0	6.90039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.21517	0.0
hg19,chr16,54784643,54785615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,54679467,54680359	0.0	0.0	0.0	0.0	0.0	5.94931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,54665329,54667258	0.0	0.0	0.0	0.0	10.81273	49.98458	0.0	0.0	0.0	14.38052	0.0	0.0	0.0	0.0	10.67534	0.0	24.07421	0.0	0.0	3.90177	0.0	0.0
hg19,chr16,54657182,54658317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.66486	0.0
hg19,chr16,54650598,54651882	0.0	0.0	0.0	0.0	10.12826	0.0	0.0	0.0	0.0	5.77127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.57247	27.41352
hg19,chr16,54624504,54625510	0.0	0.0	3.39183	0.0	0.0	0.0	0.0	0.0	0.0	20.0865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,54618981,54620264	0.0	0.0	4.79169	0.0	11.58212	18.76541	0.0	12.21585	0.0	2.81099	0.0	0.0	0.0	0.0	14.4556	0.0	32.19856	0.0	0.0	4.00045	16.50039	0.0
hg19,chr16,54611467,54612437	0.0	0.0	0.0	0.0	12.43073	0.0	41.9384	6.28503	0.0	3.35023	0.0	0.0	0.0	0.0	3.87519	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,54579726,54580655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.41055	0.0	0.0	0.0	0.0	6.03344	0.0	7.74176	0.0	0.0	8.25348	35.37931	31.29812
hg19,chr16,54575878,54577925	0.0	0.0	0.0	0.0	0.0	5.80186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,54616212,54617037	0.0	0.0	0.0	0.0	7.50729	0.0	0.0	14.20944	0.0	8.05011	0.0	0.0	0.0	0.0	0.0	0.0	24.13846	0.0	18.7874	14.64916	5.61441	13.0589
hg19,chr16,54523175,54524067	0.0	0.0	0.0	0.0	0.0	58.92829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.74113	0.0	0.0	15.7421	12.71306	0.0	29.408	0.0	0.0
hg19,chr16,54540302,54541446	6.39352	0.0	20.36017	0.0	0.0	0.0	0.0	27.02369	0.0	26.33855	0.0	8.1964	0.0	0.0	3.69992	0.0	0.0	34.63419	0.0	0.0	6.1116	8.10992
hg19,chr16,54385019,54385639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.86113	0.0	0.0	13.17745	0.0	0.0	0.0	0.0	0.0	12.39449	0.0	0.0	0.0
hg19,chr16,54350345,54351685	0.0	0.0	7.68951	0.0	0.0	26.82807	0.0	6.62426	0.0	4.5015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,54323420,54324336	2.93076	0.0	6.75443	3.81815	5.48905	0.0	0.0	0.0	0.0	13.84805	0.0	3.99252	0.0	0.0	0.0	0.0	19.86596	0.0	0.0	14.1945	0.0	0.0
hg19,chr16,54143854,54144867	0.0	0.0	0.0	0.0	0.0	39.60695	0.0	0.0	0.0	7.08994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.77961	0.0
hg19,chr16,54139806,54140268	0.0	0.0	0.0	0.0	0.0	37.40973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69671	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,54092614,54094121	0.0	0.0	0.0	0.0	0.0	56.21899	0.0	0.0	0.0	4.66863	0.0	0.0	0.0	0.0	0.0	0.0	5.41098	0.0	0.0	0.0	0.0	0.0
hg19,chr16,53929213,53929824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.65215	0.0	0.0	0.0	0.0	0.0	9.49483	15.87778
hg19,chr16,53760298,53761157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41162	0.0	0.0	0.0	0.0	5.71428	0.0	25.34964	7.92188	0.0	11.51641	0.0	0.0
hg19,chr16,53726316,53727556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,53578034,53578985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,52530541,52531971	0.0	0.0	14.53158	6.03686	0.0	0.0	0.0	0.0	6.39639	8.37826	0.0	0.0	0.0	0.0	7.74351	7.37124	25.42608	74.92061	0.0	17.11608	25.5572	39.29456
hg19,chr16,52503834,52504926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.05011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.95729	0.0
hg19,chr16,52436255,52437376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,51958288,51959688	0.0	0.0	0.0	0.0	0.0	11.37548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hg19,chr16,51817305,51818432	0.0	0.0	0.0	0.0	0.0	29.45447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
